,날짜,단계,사적모임제한,유흥시설_1인당 제한면적(㎡),유흥시설_허용인원,유흥시설_운영시간,유흥시설_집합금지,음식점 혹은 카페_1인당 제한면적(㎡),음식점 혹은 카페_허용인원,음식점 혹은 카페_운영시간,음식점 혹은 카페_집합금지,종교시설_1인당 제한면적(㎡),종교시설_허용인원,종교시설_운영시간,종교시설_집합금지,목욕 등_1인당 제한면적(㎡),목욕 등_허용인원,목욕 등_운영시간,목욕 등_집합금지,소규모 모임 공간_1인당 제한면적(㎡),소규모 모임 공간_허용인원,소규모 모임 공간_운영시간,소규모 모임 공간_집합금지,대형유통시설_1인당 제한면적(㎡),대형유통시설_허용인원,대형유통시설_운영시간,대형유통시설_집합금지,숙박가능 밀집 모임 장소_1인당 제한면적(㎡),숙박가능 밀집 모임 장소_허용인원,숙박가능 밀집 모임 장소_운영시간,숙박가능 밀집 모임 장소_집합금지,숙박업_1인당 제한면적(㎡),숙박업_허용인원,숙박업_운영시간,숙박업_집합금지,방문판매_1인당 제한면적(㎡),방문판매_허용인원,방문판매_운영시간,방문판매_집합금지,건설업장_1인당 제한면적(㎡),건설업장_허용인원,건설업장_운영시간,건설업장_집합금지,실내 민원_1인당 제한면적(㎡),실내 민원_허용인원,실내 민원_운영시간,실내 민원_집합금지,박물관/미술관_1인당 제한면적(㎡),박물관/미술관_허용인원,박물관/미술관_운영시간,박물관/미술관_집합금지,교육시설_1인당 제한면적(㎡),교육시설_허용인원,교육시설_운영시간,교육시설_집합금지,콜센터_1인당 제한면적(㎡),콜센터_허용인원,콜센터_운영시간,콜센터_집합금지,여객선_1인당 제한면적(㎡),여객선_허용인원,여객선_운영시간,여객선_집합금지,전통시장_1인당 제한면적(㎡),전통시장_허용인원,전통시장_운영시간,전통시장_집합금지,물류센터_1인당 제한면적(㎡),물류센터_허용인원,물류센터_운영시간,물류센터_집합금지,야외모임_1인당 제한면적(㎡),야외모임_허용인원,야외모임_운영시간,야외모임_집합금지,산후조리원_1인당 제한면적(㎡),산후조리원_허용인원,산후조리원_운영시간,산후조리원_집합금지,이미용업_1인당 제한면적(㎡),이미용업_허용인원,이미용업_운영시간,이미용업_집합금지,경조사_1인당 제한면적(㎡),경조사_허용인원,경조사_운영시간,경조사_집합금지,대중교통_1인당 제한면적(㎡),대중교통_허용인원,대중교통_운영시간,대중교통_집합금지,실내 체육 관련_1인당 제한면적(㎡),실내 체육 관련_허용인원,실내 체육 관련_운영시간,실내 체육 관련_집합금지,실외 체육 및 관람석_1인당 제한면적(㎡),실외 체육 및 관람석_허용인원,실외 체육 및 관람석_운영시간,실외 체육 및 관람석_집합금지,노래연습장_1인당 제한면적(㎡),노래연습장_허용인원,노래연습장_운영시간,노래연습장_집합금지,피씨방_1인당 제한면적(㎡),피씨방_허용인원,피씨방_운영시간,피씨방_집합금지,지역
0,2020-05-03,0.3333333333333333,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,서울
182,2020-11-01,0.3333333333333333,0,0.6,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.5,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,서울
105,2020-08-16,0.5,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,서울
200,2020-11-19,0.5,0,0.6,0,0,0,0,0,0.0,0,0,0.3,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.5,0,0.0,0,0,0,0,0,0.5,0,0.0,0,0,0,0,0,서울
108,2020-08-19,0.6666666666666666,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,서울
205,2020-11-24,0.6666666666666666,0,1.0,1,0,1,0,0,0.5,0,0,0.2,0,0,0.3,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,서울
288,2021-02-15,0.6666666666666666,1,1.0,1,0,1,0,0,0.5,0,0,0.2,0,0,0.3,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,서울
119,2020-08-30,0.8333333333333334,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,서울
219,2020-12-08,0.8333333333333334,0,1.0,1,0,1,0,0,0.5,0,0,0.05,0,0,0.6,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,1,0,0,0,0,0,0.5,0,1,0,0,1.0,0,0,0,0,0,0,1.0,1,0.0,1,1,0,0,0,1.0,1,0.0,1,0,0,1,0,서울
234,2020-12-23,0.8333333333333334,1,1.0,1,0,1,0,0,0.5,0,0,0.05,0,0,0.6,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,1,0,0,0,0,0,0.5,0,1,0,0,1.0,0,0,0,0,0,0,1.0,1,0.0,1,1,0,0,0,1.0,1,0.0,1,0,0,1,0,서울
