"지역","인구"
"서울특별시",9639541
"종로구",154969
"중구",130957
"용산구",227181
"성동구",299688
"광진구",359766
"동대문구",355094
"중랑구",386331
"성북구",445327
"강북구",303871
"도봉구",323543
"노원구",522480
"은평구",461530
"서대문구",319394
"마포구",369327
"양천구",440354
"강서구",574097
"구로구",435560
"금천구",249747
"영등포구",394083
"동작구",400368
"관악구",507828
"서초구",404960
"강남구",509199
"송파구",648600
"강동구",415287
"부산광역시",3372692
"읍부",144728
"면부",16004
"동부",3211960
"중구",41958
"서구",105847
"동구",85673
"영도구",117959
"부산진구",352390
"동래구",260986
"남구",278849
"북구",285098
"해운대구",392846
"사하구",319828
"금정구",244726
"강서구",128809
"연제구",203959
"수영구",170414
"사상구",222618
"기장군",160732
"대구광역시",2429940
"읍부",236543
"면부",21931
"동부",2171466
"중구",75561
"동구",337439
"서구",175243
"남구",147500
"북구",446050
"수성구",415283
"달서구",574390
"달성군",258474
"인천광역시",2952237
"읍부",21707
"면부",62568
"동부",2867962
"중구",131863
"동구",63003
"연수구",374413
"남동구",533119
"부평구",514385
"계양구",298912
"서구",540655
"미추홀구",411612
"강화군",65235
"옹진군",19040
"광주광역시",1489730
"동구",103754
"서구",298033
"남구",217972
"북구",446661
"광산구",423310
"대전광역시",1498839
"동구",237273
"중구",234995
"서구",480920
"유성구",366544
"대덕구",179107
"울산광역시",1143692
"읍부",171448
"면부",55053
"동부",917191
"중구",219428
"남구",322135
"동구",162104
"북구",213524
"울주군",226501
"세종특별자치시",338136
"읍부",50338
"면부",51408
"동부",236390
"세종시",338136
"경기도",13300900
"읍부",1459827
"면부",807497
"동부",11033576
"수원시",1214986
"장안구",282288
"권선구",374770
"팔달구",189052
"영통구",368876
"성남시",919895
"수정구",241256
"중원구",216005
"분당구",462634
"의정부시",440357
"안양시",557339
"만안구",246200
"동안구",311139
"부천시",836751
"광명시",313462
"평택시",521172
"동두천시",96541
"안산시",714650
"상록구",356620
"단원구",358030
"고양시",1024645
"덕양구",448571
"일산동구",287041
"일산서구",289033
"과천시",53830
"구리시",192270
"남양주시",681077
"오산시",233998
"시흥시",508749
"군포시",275154
"의왕시",155826
"하남시",260544
"용인시",1052529
"처인구",266647
"기흥구",434075
"수지구",351807
"파주시",454328
"이천시",222995
"안성시",202284
"김포시",442910
"화성시",838635
"광주시",375238
"양주시",224684
"포천시",159871
"여주시",111981
"연천군",42540
"가평군",59823
"양평군",111836
"강원도",1520127
"읍부",256203
"면부",350394
"동부",913530
"춘천시",284753
"원주시",349319
"강릉시",216357
"동해시",86780
"태백시",42474
"속초시",78643
"삼척시",67210
"홍천군",66634
"횡성군",44431
"영월군",36332
"평창군",39657
"정선군",35255
"철원군",43520
"화천군",23425
"양구군",21780
"인제군",30133
"고성군",27144
"양양군",26280
"충청북도",1629343
"읍부",349009
"면부",338833
"동부",941501
"충주시",216446
"제천시",136093
"청주시",850938
"상당구",173783
"서원구",210273
"흥덕구",266301
"청원구",200581
"보은군",32001
"옥천군",49117
"영동군",48004
"진천군",87525
"괴산군",38808
"음성군",104823
"단양군",28095
"증평군",37493
"충청남도",2188649
"읍부",509047
"면부",671818
"동부",1007784
"천안시",679743
"동남구",279153
"서북구",400590
"공주시",109877
"보령시",99320
"아산시",347032
"서산시",175204
"논산시",122111
"계룡시",41153
"당진시",169171
"금산군",54442
"부여군",65337
"서천군",51826
"청양군",30783
"홍성군",102791
"예산군",78963
"태안군",60896
"전라북도",1807423
"읍부",156875
"면부",363012
"동부",1287536
"전주시",662086
"완산구",341123
"덕진구",320963
"군산시",270635
"익산시",290119
"정읍시",107348
"남원시",77690
"김제시",80422
"완주군",96212
"진안군",23013
"무주군",22852
"장수군",21267
"임실군",26144
"순창군",26642
"고창군",53260
"부안군",49733
"전라남도",1787543
"읍부",434488
"면부",572417
"동부",780638
"목포시",228876
"여수시",270283
"순천시",270202
"나주시",112101
"광양시",143656
"담양군",43804
"곡성군",27858
"구례군",23836
"고흥군",60332
"보성군",38339
"화순군",59671
"장흥군",35494
"강진군",32805
"해남군",65175
"영암군",57476
"무안군",81789
"함평군",30556
"영광군",50004
"장성군",42193
"완도군",48366
"진도군",29295
"신안군",35432
"경상북도",2668154
"읍부",606582
"면부",651493
"동부",1410079
"포항시",502064
"남구",233172
"북구",268892
"경주시",264314
"김천시",139902
"안동시",160344
"구미시",420319
"영주시",105235
"영천시",100487
"상주시",96641
"문경시",68542
"경산시",290088
"군위군",22206
"의성군",49477
"청송군",23958
"영양군",16146
"영덕군",35672
"청도군",41054
"고령군",32191
"성주군",41314
"칠곡군",118517
"예천군",53020
"봉화군",30308
"울진군",47651
"울릉군",8704
"경상남도",3347209
"읍부",509697
"면부",700689
"동부",2136823
"진주시",354166
"통영시",129931
"사천시",111110
"김해시",549331
"밀양시",103402
"거제시",251226
"양산시",347221
"창원시",1036862
"의창구",256001
"성산구",219951
"마산합포구",177579
"마산회원구",192446
"진해구",190885
"의령군",26040
"함안군",66611
"창녕군",62370
"고성군",50887
"남해군",42169
"하동군",42583
"산청군",33579
"함양군",37384
"거창군",59888
"합천군",42449
"제주특별자치도",665048
"읍부",151015
"면부",35474
"동부",478559
"제주시",487688
"서귀포시",177360
